,LEAVER,AGE,S0287,T0080,SALARY,T0329,T0333,T0159,T0165,EXPER,T0356,T0278,T0277,T0330
141,1,0,1.0,1.0,0,1,0,0,1,26,2,0,10,2
142,1,0,0.0,1.0,0,1,1,0,0,37,2,4,1,2
144,1,0,0.0,1.0,0,0,0,1,1,30,2,0,3,4
145,1,0,0.0,0.0,0,0,0,0,0,29,2,6,1,4
146,1,0,1.0,1.0,0,1,0,0,0,27,2,4,6,3
147,1,1,1.0,0.0,1,0,0,1,0,10,2,4,18,4
148,1,1,0.0,1.0,0,0,0,1,1,9,2,2,12,2
149,1,1,0.0,0.0,1,0,0,1,1,6,2,5,5,3
150,1,0,0.0,0.0,0,0,0,1,0,26,2,2,15,4
151,1,1,1.0,0.0,1,1,0,1,1,2,2,5,3,2
153,1,1,1.0,1.0,1,0,0,1,1,8,2,3,0,3
154,1,1,1.0,1.0,1,0,0,1,0,1,2,10,10,3
155,1,0,0.0,1.0,0,0,0,1,1,17,2,2,5,4
159,1,0,0.0,,1,0,0,0,1,6,2,1,6,4
160,1,1,1.0,1.0,1,1,0,0,1,7,2,0,15,2
161,1,0,0.0,1.0,0,1,0,0,1,31,2,6,7,2
162,1,0,1.0,0.0,1,1,1,1,0,38,2,10,20,2
164,1,0,0.0,0.0,0,0,0,1,1,35,2,1,20,4
165,1,1,0.0,1.0,1,0,0,0,1,12,2,2,20,4
166,1,0,1.0,0.0,0,1,1,0,0,11,2,1,3,1
168,1,0,1.0,0.0,1,1,1,1,1,27,2,5,7,2
174,1,0,0.0,0.0,0,0,0,1,1,7,2,2,30,4
175,1,0,0.0,1.0,1,0,0,0,0,11,2,0,2,4
176,1,0,0.0,1.0,0,1,1,1,1,30,2,0,10,2
179,1,0,0.0,0.0,0,0,0,1,0,31,2,0,15,4
182,1,0,1.0,0.0,0,0,0,1,1,24,2,1,10,4
183,1,0,0.0,0.0,1,1,1,0,1,37,2,0,10,1
185,1,1,0.0,0.0,0,0,0,1,1,1,2,1,12,4
186,1,0,0.0,1.0,0,0,0,1,1,18,2,0,10,2
187,1,1,0.0,0.0,1,0,0,0,0,2,2,4,10,3
189,1,0,0.0,1.0,0,1,1,0,1,31,2,2,12,2
190,1,1,0.0,0.0,0,0,0,0,1,3,2,5,9,3
191,1,1,0.0,1.0,0,0,0,0,0,1,2,12,7,4
192,1,0,1.0,1.0,0,1,1,1,1,7,2,3,10,1
193,1,0,0.0,1.0,1,1,1,1,1,19,2,2,15,3
194,1,0,,1.0,0,0,0,1,1,19,2,3,6,3
195,1,1,1.0,1.0,1,0,0,0,0,4,2,2,10,4
196,1,0,0.0,0.0,0,0,0,0,0,25,2,0,4,4
199,1,0,1.0,1.0,0,1,0,0,0,24,2,1,5,2
201,1,0,0.0,1.0,0,0,0,1,1,26,2,3,25,4
202,1,0,0.0,1.0,0,0,0,1,1,27,2,5,10,4
203,1,0,0.0,0.0,1,0,0,1,0,25,2,0,10,3
205,1,1,1.0,0.0,1,0,0,1,0,5,2,5,12,4
206,1,0,1.0,0.0,0,0,0,1,1,9,2,25,2,3
207,1,1,0.0,0.0,1,0,0,0,0,5,2,10,0,3
208,1,0,0.0,1.0,0,0,0,1,1,28,2,0,5,3
209,1,1,0.0,1.0,1,0,0,1,1,5,2,0,2,4
210,1,1,0.0,1.0,1,0,0,0,0,11,2,8,3,4
211,1,0,1.0,0.0,0,0,0,1,0,35,2,4,16,3
213,1,1,1.0,0.0,1,0,0,0,1,4,2,0,2,4
215,1,0,0.0,1.0,0,0,0,1,1,33,2,10,6,4
216,1,1,0.0,1.0,1,0,0,0,1,13,2,4,7,4
217,1,0,0.0,0.0,1,1,1,1,0,15,2,5,10,2
220,1,1,0.0,1.0,0,0,0,1,1,15,2,2,14,4
225,1,0,0.0,0.0,0,1,0,1,1,26,2,8,10,3
229,1,1,1.0,0.0,1,0,0,0,1,2,2,2,2,4
230,1,1,0.0,0.0,1,0,0,0,1,1,2,0,4,4
231,1,0,0.0,0.0,1,1,1,0,0,5,2,3,6,1
233,1,0,,0.0,0,0,0,1,1,30,2,5,20,3
236,1,0,1.0,1.0,0,0,0,0,0,31,2,15,12,4
237,1,1,1.0,0.0,1,1,0,1,0,5,2,3,10,2
238,1,1,1.0,0.0,1,1,0,0,1,2,2,5,5,3
239,1,0,1.0,0.0,1,0,0,1,1,14,2,4,20,4
240,1,0,0.0,0.0,1,1,0,1,0,16,2,0,5,3
241,1,0,1.0,1.0,0,0,0,1,1,30,2,5,12,3
242,1,0,0.0,1.0,1,0,0,0,0,30,2,3,12,3
243,1,0,0.0,0.0,1,1,1,1,1,40,2,61,13,2
244,1,0,0.0,1.0,0,1,1,0,1,26,2,5,15,2
245,1,0,0.0,1.0,0,1,1,0,1,22,2,5,6,1
247,1,1,0.0,0.0,1,1,0,1,1,5,2,2,13,2
250,1,0,0.0,0.0,0,0,0,1,1,35,2,30,6,4
251,1,0,1.0,1.0,0,0,0,1,1,10,2,10,12,4
253,1,0,0.0,1.0,0,0,0,0,1,28,2,2,9,4
254,1,0,0.0,0.0,0,0,0,0,1,32,2,5,30,3
255,1,1,0.0,0.0,1,1,1,1,1,12,2,8,17,1
256,1,0,0.0,1.0,0,0,0,1,1,20,2,0,15,4
257,1,1,0.0,1.0,1,0,0,1,1,10,2,1,7,4
261,1,0,1.0,0.0,1,0,0,0,1,29,2,6,8,3
263,1,0,0.0,1.0,0,1,1,0,1,23,2,5,9,2
264,1,0,0.0,0.0,1,0,0,1,1,16,2,0,5,4
265,1,1,0.0,0.0,1,0,0,0,0,2,2,5,15,4
268,1,0,0.0,1.0,1,1,1,1,1,24,2,12,5,1
269,1,0,0.0,1.0,0,0,0,1,1,35,2,5,10,4
270,1,0,1.0,1.0,0,0,0,1,0,36,2,2,5,4
272,1,0,1.0,1.0,1,1,0,1,1,8,2,15,15,2
274,1,1,0.0,0.0,1,0,0,0,0,3,2,2,2,4
275,1,1,0.0,0.0,1,0,1,0,1,3,2,7,5,3
276,1,0,1.0,0.0,0,0,0,1,0,32,2,2,3,2
277,1,0,1.0,0.0,1,1,0,1,0,7,2,50,10,2
280,1,1,1.0,0.0,1,1,0,0,0,2,2,7,3,1
282,1,1,0.0,0.0,1,1,1,1,1,1,2,4,15,1
283,1,0,0.0,1.0,0,0,0,1,0,23,2,0,7,4
284,1,0,0.0,0.0,1,0,0,0,1,2,2,4,3,3
285,1,0,0.0,1.0,0,0,0,0,1,16,2,3,5,4
286,1,1,1.0,0.0,1,0,0,1,1,14,2,0,2,3
290,1,0,1.0,1.0,0,1,0,1,1,25,2,2,3,2
291,1,0,,0.0,0,0,1,1,1,36,2,2,10,3
292,1,0,,1.0,0,1,1,0,0,34,2,2,9,2
294,1,0,0.0,1.0,0,0,0,1,1,23,2,2,8,3
295,1,0,0.0,1.0,0,0,1,1,1,29,2,3,10,3
296,1,0,1.0,0.0,1,1,1,0,1,14,2,5,15,2
298,1,0,1.0,0.0,1,0,0,1,1,32,2,3,20,4
299,1,0,0.0,0.0,1,0,0,0,0,34,2,0,5,4
300,1,0,0.0,0.0,1,0,0,0,0,15,2,2,2,4
302,1,0,1.0,0.0,0,1,1,0,0,22,2,10,5,2
303,1,0,0.0,1.0,0,0,1,0,1,16,2,30,20,2
304,1,0,1.0,0.0,1,0,0,0,1,30,2,0,1,4
305,1,1,1.0,1.0,1,0,0,0,1,1,2,15,10,4
306,1,0,0.0,0.0,0,0,0,0,1,17,2,2,9,4
307,1,0,0.0,0.0,1,0,0,0,0,43,2,0,3,4
310,1,1,1.0,1.0,1,0,0,1,1,12,2,2,25,4
312,1,1,1.0,1.0,0,0,0,0,1,9,2,0,5,3
313,1,1,0.0,0.0,1,0,0,0,1,4,2,10,2,4
314,1,0,0.0,0.0,1,1,1,1,1,20,2,7,28,2
315,1,0,,0.0,1,1,1,1,1,5,2,3,5,2
318,1,1,0.0,0.0,1,0,0,1,0,6,2,5,18,2
319,1,0,1.0,1.0,1,0,0,1,1,8,2,2,20,3
326,1,0,1.0,1.0,0,1,0,0,1,31,2,5,6,3
328,1,0,1.0,0.0,1,0,1,0,0,21,2,14,12,3
329,1,0,1.0,0.0,1,0,0,0,1,11,2,3,12,3
330,1,0,0.0,,1,0,1,0,1,25,2,6,3,3
331,1,0,,0.0,1,0,0,1,0,4,2,0,4,4
334,1,1,1.0,0.0,1,1,0,0,1,5,2,0,4,2
337,1,0,0.0,1.0,1,1,0,1,1,21,2,6,11,2
339,1,0,0.0,1.0,0,0,1,0,1,28,2,3,14,3
340,1,1,1.0,0.0,1,0,0,1,1,10,2,3,10,4
341,1,0,1.0,1.0,0,1,1,0,0,30,2,6,35,2
342,1,0,1.0,0.0,0,0,1,1,1,34,2,10,12,3
343,1,0,1.0,1.0,0,1,1,0,0,13,2,6,0,2
