,NEW_STATUS,F0119,T0186,S1628,AGE_T_x,S0287,T0178,T0080,EARNALL,T0356,T0329,T0330,T0332,T0333,T0336,T0155,T0157,T0182,T0184,T0159,T0165,T0174,TOTEXPER_x
47,1,1.0,0,1.0,0,0.0,,0.0,0,2,0,1,1,1,1,1,1,0,0,0,1,1,30
48,1,0.0,0,1.0,0,0.0,1.0,0.0,0,2,1,1,1,1,1,1,1,0,1,0,1,1,25
49,1,,0,1.0,0,0.0,,1.0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,30
50,1,0.0,0,1.0,0,,0.0,0.0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,26
51,1,,1,1.0,0,,1.0,0.0,1,2,1,1,0,0,1,0,1,1,0,0,0,0,8
52,1,0.0,0,1.0,0,0.0,,1.0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,34
53,1,0.0,0,,0,1.0,,0.0,0,2,0,0,1,0,0,0,1,0,0,1,1,1,12
54,1,1.0,0,1.0,0,1.0,1.0,0.0,1,2,0,0,1,0,1,0,1,0,0,1,1,0,28
55,1,1.0,0,1.0,0,1.0,0.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,35
56,1,0.0,0,1.0,1,0.0,1.0,1.0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,13
57,1,0.0,0,1.0,1,0.0,,0.0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,2
58,1,1.0,0,1.0,1,0.0,,,1,1,0,0,1,0,1,1,1,0,0,0,0,0,4
59,1,,0,0.0,0,0.0,,1.0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,18
60,1,1.0,0,0.0,0,1.0,,1.0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,35
61,1,1.0,0,1.0,0,1.0,1.0,0.0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,23
62,1,0.0,0,0.0,1,1.0,,0.0,1,2,1,1,1,1,0,1,1,0,1,0,0,0,4
63,1,,0,0.0,0,1.0,1.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,33
64,1,,0,1.0,0,0.0,,0.0,1,2,0,0,0,0,0,0,1,1,0,1,1,0,26
65,1,,0,1.0,0,0.0,1.0,0.0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,3
66,1,1.0,0,0.0,0,0.0,1.0,0.0,0,2,0,0,0,0,0,0,1,0,0,1,1,1,31
